A,B,C,D,E,F,G,H,I,J,K
1.045425188,1.351991389,1.014424112,0.993756728,1.190096878,1.112594187,1.196986006,1.010979548,1.055758881,1.00409042,0.971367061
1.112594187,1.457050592,1.255543595,1.234876211,1.234876211,1.333046286,1.069537137,1.078148547,1.103982777,1.13153929,1.002368138
1.102260495,1.14876211,1.116038751,1.179763186,0.948977395,1.114316469,1.078148547,0.993756728,0.897308934,1.060925727,1.067814855
1.125620466,1.07674685,0.98358152,0.946926308,0.948453608,0.821687667,0.83085147,0.833906071,0.786559756,0.9224895,0.86292478
1.105765559,1.011072929,1.003436426,0.885834288,0.934707904,1.029400535,0.957617411,0.963726613,0.917907598,0.957617411,0.962199313
1.140893471,0.974417717,0.416953036,0.917907598,0.927071401,0.884306987,0.847651775,0.907216495,0.855288278,0.905689194,0.89347079
1.157693776,0.927071401,0.948453608,0.89347079,0.875143184,0.888888889,0.884306987,0.936235204,0.885834288,0.824742268,0.905689194
1.160748377,0.899579992,1.004963727,0.945399007,0.882779687,0.835433372,0.818633066,0.818633066,0.803360061,0.803360061,0.928598702
1.113402062,0.994272623,1.024818633,0.881252386,0.930126002,0.872088583,0.908743795,0.896525391,0.809469263,0.836960672,0.943871707
1.140893471,1.073692249,1.124093165,1.04620084,1.029400535,1.050782742,0.982054219,1.008018328,0.905689194,0.930126002,0.933180603
0.684230622,1.147002673,1.098129057,1.012600229,1.052310042,1.10729286,1.128675067,0.98510882,0.974417717,0.963726613,1.000381825
1.057356608,0.828697487,0.960675235,0.733550739,0.825628237,0.759639363,0.822558987,0.738154613,0.563207366,0.810281987,0.839439862
0.991367735,0.860924612,0.850182237,0.851716862,0.405140994,0.274697871,0.790331863,0.498753117,0.515633992,0.817955112,0.888547861
1.045079609,0.910032611,0.810281987,0.798004988,0.753500863,0.782658738,0.724342989,0.558603491,0.735085364,0.719739114,0.774985613
0.811816612,0.801074237,0.782658738,0.796470363,0.741223863,0.779589488,0.784193363,0.784193363,0.771916363,0.728946864,0.747362363
1.051218109,0.837905237,0.805678112,0.561672741,0.787262613,0.781124113,0.796470363,0.596969116,0.801074237,0.781124113,0.883943986
1.149434107,0.926913486,0.850182237,0.801074237,0.834835987,0.782658738,0.758104738,0.827162862,0.798004988,0.887013236,0.550930366
1.104929983,0.906963361,0.847112987,0.598503741,0.801074237,0.862459237,0.817955112,0.885478611,0.879340111,0.844043737,0.925378861
1.146364857,1.084979858,0.66909649,0.992902359,1.098791483,0.991367735,1.015921734,0.902359486,0.919240361,0.418952618,1.042010359
0.309904153,0.899361022,1.025559105,0.832268371,0.853035144,0.809904153,0.651757188,0.990415335,0.971246006,0.849840256,1.041533546
1.119808307,0.878594249,0.814696486,0.861022364,0.768370607,0.760383387,0.857827476,0.722044728,0.875399361,0.800319489,0.752396166
1.011182109,0.92971246,0.85942492,0.814696486,0.782747604,0.856230032,0.771565495,0.876996805,0.821086262,0.881789137,0.797124601
1.031948882,0.3514377,0.476038339,0.765175719,0.758785942,0.864217252,0.771565495,0.669329073,0.813099042,0.785942492,0.798722045
1.146964856,0.89456869,0.575079872,0.774760383,0.821086262,0.765175719,0.777955272,0.841853035,0.846645367,0.809904153,0.985623003
0.460063898,0.931309904,0.415335463,0.837060703,0.843450479,0.397763578,0.811501597,0.880191693,0.902555911,0.913738019,0.937699681
1.215654952,0.923322684,0.915335463,0.940894569,0.968051118,0.838658147,0.896166134,0.910543131,0.907348243,0.966453674,0.977635783
1.333865815,1.21884984,1.102236422,1.068690096,1.108626198,0.993610224,0.958466454,1.110223642,1.150159744,1.130990415,1.162939297
1.099116781,0.868302257,0.851030422,0.79764475,0.954661433,0.725417076,0.763101079,0.888714426,0.775662414,1.048871443,0.799214917
0.89185476,0.901275761,0.876153091,0.887144259,0.813346418,0.763101079,0.860451423,1.02060844,1.05515211,0.888714426,0.846319921
0.916977429,0.888714426,0.811776251,0.843179588,0.719136408,0.783513248,0.858881256,1.100686948,1.033169774,1.05515211,1.086555447
0.99077527,0.855740922,0.791364082,0.786653582,0.274779195,0.734838077,0.766241413,0.752109912,0.893424926,0.904416094,0.86673209
1.102257115,0.879293425,0.822767419,0.836898921,0.835328754,0.781943081,0.838469087,0.803925417,0.819627085,0.876153091,0.860451423
1.11952895,0.884003925,0.902845927,0.86202159,0.86673209,0.79764475,0.884003925,0.816486752,0.80235525,0.854170756,0.840039254
1.262414132,0.913837095,0.937389598,0.942100098,0.840039254,0.873012758,0.893424926,0.905986261,0.852600589,0.86202159,0.835328754
1.322080471,1.276545633,1.165063788,1.022178606,1.064573111,1.048871443,1.061432777,1.028459274,1.011187439,1.019038273,0.945240432
0.914752425,0.934405309,1.148800408,1.093415008,1.08805513,1.004083716,0.998723839,0.982644206,0.941551812,0.932618683,0.920112302
1.071975498,0.918325676,1.038029607,1.007656968,1.064828994,0.918325676,0.9683512,0.9683512,1.009443594,1.025523226,0.977284329
1.245278203,0.884379786,0.83971414,1.179173047,1.122001021,1.113067892,1.127360898,1.116641143,0.977284329,1.004083716,0.936191935
