a,b,c,d,e,f,g,h,i,j,k
1.311036789,1.309085842,1.256410256,1.348104794,1.205685619,1.273968785,1.149108138,1.246655518,1.1803233,1.334448161,1.289576366
1.143255295,1.186176143,1.250557414,1.250557414,1.250557414,1.371516165,1.287625418,1.435897436,1.293478261,1.353957637,1.137402453
1.039855072,1.057413601,1.13154961,1.016443701,0.983277592,1.026198439,0.85451505,1.051560758,1.014492754,0.99303233,0.965719064
0.875975474,0.989130435,0.920847269,0.967670011,1.004738016,1.016443701,0.981326644,1.028149387,1.078874025,1.037904125,1.035953177
0.827201784,0.817447046,0.954013378,1.055462653,0.928651059,0.95206243,1.018394649,0.940356745,0.971571906,0.94425864,0.981326644
0.862318841,0.84671126,0.918896321,1.156911929,1.002787068,1.037904125,0.879877369,1.053511706,1.051560758,0.967670011,0.98522854
0.686733556,0.821348941,0.977424749,0.911092531,0.79793757,0.90328874,0.897435897,1.004738016,0.975473802,0.799888517,0.916945373
0.752305962,0.887289089,0.94128234,0.854893138,0.865691789,0.910686164,0.748706412,0.827896513,0.876490439,0.957480315,1.103262092
0.97007874,0.925084364,0.93768279,0.94848144,0.919685039,0.921484814,0.894488189,0.921484814,0.919685039,0.723509561,0.943082115
1.063667042,0.905286839,0.908886389,0.910686164,0.961079865,0.97727784,0.856692913,0.94848144,0.97007874,0.98447694,1.013273341
0.863892013,0.95568054,1.061867267,0.968278965,0.907086614,0.885489314,0.928683915,0.995275591,1.033070866,0.968278965,0.880089989
0.818897638,0.809898763,0.95208099,0.773903262,1.002474691,0.96287964,0.917885264,1.056467942,1.004274466,0.94488189,0.975478065
0.851293588,0.925084364,0.94848144,0.946681665,0.912485939,0.914285714,0.844094488,0.914285714,0.935883015,0.901687289,0.889088864
1.081664792,1.038470191,0.93048369,0.96287964,0.939482565,0.93408324,0.93768279,0.97007874,0.94128234,1.061867267,1.079865017
0.763104612,1.141057368,1.051068616,1.133858268,1.207649044,1.124859393,1.045669291,1.000674916,0.97367829,1.036670416,0.998875141
0.666666667,0.80651341,0.975095785,0.925287356,0.850574713,0.844827586,0.641762452,0.800766284,0.898467433,0.921455939,0.908045977
0.975095785,0.994252874,0.95210728,0.929118774,0.927203065,1.013409962,0.975095785,0.756704981,0.957854406,1.042145594,1.009578544
0.982758621,1.022988506,1.084291188,0.664750958,1.055555556,0.955938697,0.917624521,0.85440613,0.896551724,1.021072797,1.040229885
1.03256705,0.877394636,0.898467433,0.913793103,0.948275862,1.090038314,1.063218391,1.203065134,0.902298851,0.908045977,0.936781609
0.957854406,0.91954023,0.91954023,0.96743295,0.973180077,1.057471264,1,1.078544061,1.034482759,1.011494253,1.019157088
0.827586207,1.011494253,0.931034483,1.084291188,1.067049808,1.203065134,1.044061303,1.097701149,1.03256705,1.024904215,1.082375479
0.718390805,0.898467433,1.024904215,0.954022989,1.003831418,1.013409962,0.978927203,0.931034483,0.986590038,1.086206897,0.994252874
0.793103448,1.017241379,1.067049808,0.860153257,0.961685824,0.948275862,0.95210728,0.672413793,0.982758621,1.045977011,1.093869732
0.656871219,0.720829732,0.774416595,0.890233362,0.886776145,0.803802939,0.961106309,0.931719965,0.878133103,0.855661193,0.829732066
1.101123596,1.080380294,0.933448574,1.025064823,1.031979257,0.978392394,0.976663786,0.992221262,0.928262748,0.772687986,0.97147796
1.116681072,1.09593777,0.675885912,0.784788245,0.942091616,0.917891098,1.075194468,0.98357822,1.026793431,1.00605013,1.018150389
1.111495246,0.98357822,1.014693172,1.128781331,1.047536733,1.121866897,1.070008643,1.267070009,0.964563526,0.955920484,0.995678479
0.876404494,0.962834918,0.985306828,0.997407087,1.047536733,1.109766638,1.239412273,1.078651685,1.161624892,0.928262748,0.964563526
0.957649092,0.850475367,0.98357822,1.000864304,0.942091616,1.133967156,1.023336214,0.987035436,1.061365601,0.952463267,1.004321521
1.080380294,0.70008643,1.192739844,0.945548833,0.964563526,0.924805532,1.000864304,0.978392394,0.990492653,0.974935177,1.189282627
0.88159032,0.987035436,0.489196197,0.924805532,1.033707865,1.108038029,1.01642178,1.1633535,1.109766638,1.082108902,1.023336214
0.967388717,1.14068079,0.571292549,0.896929303,0.90073792,0.902642228,0.881694835,0.803618186,1.024517972,0.965484408,0.959771483
1.121637705,1.022613663,0.624613187,1.266365151,1.108307546,1.087360152,1.108307546,1.150202333,1.152106641,1.114020471,1.232087598
1.020709355,0.904546537,1.237800524,1.134967865,1.336824566,1.289216853,1.123542014,1.272078077,1.146393716,1.045465365,1.155915258
1.041656748,1.190192811,1.346346108,1.283503928,1.251130683,1.224470364,0.931206856,1.142585099,1.283503928,1.197810045,0.954058557
1.034039514,1.226374673,1.106403237,1.380623661,1.136872173,1.083551535,1.127350631,1.110211854,1.104498929,1.054986908,1.121637705
0.978814568,1.173054035,1.287312545,1.201618662,1.239704832,1.384432278,1.195905737,1.163532492,1.435848607,1.150202333,1.188288503
1.022613663,0.929302547,0.874077601,0.954058557,1.094977386,1.195905737,1.034039514,1.00166627,1.10259462,1.117829088,1.121637705
1.083551535,1.138776482,1.136872173,1.146393716,1.083551535,1.150202333,1.262556534,1.173054035,1.184479886,1.218757439,1.201618662
0.785352552,0.710557071,0.852356837,0.814959096,0.835216206,0.832099727,0.701207635,0.805609661,0.810284379,0.682508765,0.782236073
0.897545773,1.125048695,0.927152318,1.148422283,1.067393845,1.044020257,1.036229061,1.001947799,0.941176471,0.847682119,0.933385275
0.892871056,1.023763148,0.956758862,0.928710557,1.07674328,1.143747565,1.109466303,1.005064277,1.033112583,1.053369692,1.017530191
0.947409427,1.089209194,0.895987534,0.877288664,0.930268796,1.09700039,0.966108298,1.061160888,0.983248929,1.131281652,1.07674328
0.791585508,0.958317102,0.994156603,0.953642384,0.975457733,0.998831321,0.98013245,0.67315933,0.645111025,1.079859758,1.132839891
0.810284379,0.891312817,1.006622517,1.026879626,1.020646669,0.908453448,1.033112583,1.036229061,1.093883911,1.15465524,1.093883911
0.959875341,0.853915076,1.028437865,0.934943514,0.995714842,0.983248929,1.047136735,0.986365407,0.989481885,1.009738995,1.020646669
0.804051422,0.733930658,0.877288664,0.881963381,0.905336969,0.938059992,0.872613946,0.772886638,0.833657966,0.835216206,0.94273471
